iter	Logloss
0	0.6927338232
1	0.6923483471
2	0.6919363679
3	0.6915100514
4	0.6911269456
5	0.6907288216
6	0.6903237038
7	0.6899148941
8	0.6895186204
9	0.6891200742
10	0.6887507179
11	0.6883434007
12	0.6879551088
13	0.6875576921
14	0.6871570693
15	0.686776534
16	0.6863703862
17	0.6859959047
18	0.6855834394
19	0.6851930367
20	0.6848035954
21	0.6844042965
22	0.6840043845
23	0.6836172819
24	0.6832252592
25	0.6828388575
26	0.6824441385
27	0.6820709865
28	0.681682083
29	0.6812782558
30	0.6809412199
31	0.6805401102
32	0.6801548229
33	0.6797726668
34	0.6793766995
35	0.6789743769
36	0.678615831
37	0.678224388
38	0.6778810227
39	0.6775194625
40	0.6771766271
41	0.6767959259
42	0.6764394214
43	0.6760730633
44	0.6756696592
45	0.6753036155
46	0.6749595783
47	0.6746087599
48	0.6742618486
49	0.6738831416
50	0.673514596
51	0.6731403633
52	0.6727714153
53	0.6723940931
54	0.6720102016
55	0.6716310509
56	0.6712694499
57	0.6709095213
58	0.6705449734
59	0.6702285122
60	0.6698543823
61	0.6694759433
62	0.6691184196
63	0.6687576113
64	0.6683788095
65	0.6680231381
66	0.6676696985
67	0.6673008245
68	0.6669687326
69	0.6666109721
70	0.6662424999
71	0.6658834799
72	0.6655315456
73	0.665165797
74	0.6648120996
75	0.6644659864
76	0.6641158236
77	0.6637780348
78	0.6634511218
79	0.6630834121
80	0.662719429
81	0.662368475
82	0.6620205439
83	0.6616913248
84	0.6613344949
85	0.6609856253
86	0.6606296949
87	0.6602935706
88	0.6599548607
89	0.6595996761
90	0.6592546012
91	0.6589056977
92	0.6585399434
93	0.6582167725
94	0.6578673131
95	0.6575188714
96	0.6571701848
97	0.6568420132
98	0.6564961976
99	0.6561628967
100	0.6558411065
101	0.6555121354
102	0.6551656405
103	0.6548363397
104	0.6544926129
105	0.6541991202
106	0.6538725629
107	0.6535496055
108	0.6532209858
109	0.6528729871
110	0.652549718
111	0.6522242975
112	0.6518797395
113	0.6515702007
114	0.6512349204
115	0.6509151381
116	0.6506125528
117	0.6502790263
118	0.6499506231
119	0.6496260117
120	0.6493054438
121	0.6490164991
122	0.6487045606
123	0.6484020492
124	0.6480969847
125	0.647757788
126	0.6474482078
127	0.6471219467
128	0.6468043533
129	0.6464850291
130	0.6461622619
131	0.6458643088
132	0.6455482277
133	0.6452287365
134	0.6449195804
135	0.644613189
136	0.6443155008
137	0.6439810704
138	0.6436596033
139	0.6433536717
140	0.6430672147
141	0.6427537775
142	0.6424449364
143	0.6421547228
144	0.6418538372
145	0.6415504096
146	0.6412435066
147	0.6409317481
148	0.6406532962
149	0.6403601219
150	0.6400646815
151	0.6397716414
152	0.6394482445
153	0.6391470429
154	0.6388412247
155	0.6385395151
156	0.6382507321
157	0.6379982296
158	0.6377096815
159	0.6374401429
160	0.637135249
161	0.6368306342
162	0.6365437767
163	0.6362475025
164	0.6359645534
165	0.6356751007
166	0.6353607618
167	0.6350621545
168	0.6347553491
169	0.6344758177
170	0.6342226272
171	0.6339474207
172	0.6336586649
173	0.6333610371
174	0.6331026577
